,_id,reference,question_id,topic_id
530,266,TH311,266,1
532,267,TH312,267,1
534,268,TH401,268,1
536,269,TH402,269,1
538,270,TH403,270,1
540,271,TH404,271,1
542,272,TH405,272,1
544,273,TH406,273,1
546,274,TI101,274,1
548,275,TI102,275,1
550,276,TI103,276,1
552,277,TI104,277,1
554,278,TI105,278,1
556,279,TI106,279,1
558,280,TI107,280,1
560,281,TI201,281,1
562,282,TI202,282,1
564,283,TI203,283,1
566,284,TI204,284,1
568,285,TI205,285,1
570,286,TI206,286,1
572,287,TI207,287,1
574,288,TI208,288,1
576,289,TI209,289,1
578,290,TI210,290,1
580,291,TI211,291,1
582,292,TI212,292,1
584,293,TI213,293,1
586,294,TI301,294,1
588,295,TI302,295,1
590,296,TI303,296,1
592,297,TI304,297,1
594,298,TI305,298,1
596,299,TI306,299,1
598,300,TI307,300,1
600,301,TI308,301,1
602,302,TI309,302,1
604,303,TI310,303,1
606,304,TJ101,304,1
608,305,TJ102,305,1
610,306,TJ103,306,1
612,307,TJ104,307,1
614,308,TJ105,308,1
616,309,TJ106,309,1
618,310,TJ107,310,1
620,311,TJ108,311,1
622,312,TJ109,312,1
624,313,TJ110,313,1
626,314,TJ201,314,1
628,315,TJ202,315,1
630,316,TJ203,316,1
632,317,TJ204,317,1
634,318,TJ205,318,1
636,319,TJ206,319,1
638,320,TJ207,320,1
640,321,TJ208,321,1
642,322,TJ209,322,1
644,323,TJ210,323,1
646,324,TJ211,324,1
648,325,TK101,325,1
650,326,TK102,326,1
652,327,TK103,327,1
654,328,TK104,328,1
656,329,TK105,329,1
658,330,TK106,330,1
660,331,TK107,331,1
662,332,TK201,332,1
664,333,TK202,333,1
666,334,TK203,334,1
668,335,TK204,335,1
670,336,TK301,336,1
672,337,TK302,337,1
674,338,TK303,338,1
676,339,TK304,339,1
678,340,TK305,340,1
680,341,TK306,341,1
682,342,TK307,342,1
684,343,TK308,343,1
686,344,TK309,344,1
688,345,TK310,345,1
690,346,TK311,346,1
692,347,TK312,347,1
694,348,TK313,348,1
696,349,TK314,349,1
698,350,TK315,350,1
700,351,TK316,351,1
702,352,TK317,352,1
704,353,TK318,353,1
706,354,TK319,354,1
708,355,TL101,355,1
710,356,TL201,356,1
712,357,TL202,357,1
714,358,TL203,358,1
716,359,TL204,359,1
718,360,TL205,360,1
720,361,TL206,361,1
722,362,TL207,362,1
724,363,TL208,363,1
726,364,TL209,364,1
728,365,TL210,365,1
730,366,TL211,366,1
732,367,TL212,367,1
734,368,TL213,368,1
736,369,TL214,369,1
738,370,TL301,370,1
740,371,TL302,371,1
742,372,TL303,372,1
744,373,TL304,373,1
746,374,TL305,374,1
748,375,TL306,375,1
750,376,TL307,376,1
752,377,TL308,377,1
754,378,TA101,378,2
755,379,TA102,379,2
756,380,TA103,380,2
757,381,TA104,381,2
758,382,TA105,382,2
759,383,TA106,383,2
760,384,TA107,384,2
761,385,TA108,385,2
762,386,TA109,386,2
763,387,TA110,387,2
764,388,TA111,388,2
765,389,TA112,389,2
766,390,TA113,390,2
767,391,TA114,391,2
768,392,TA115,392,2
769,393,TA116,393,2
770,394,TA117,394,2
771,395,TA118,395,2
772,396,TA119,396,2
773,397,TA120,397,2
774,398,TA121,398,2
775,399,TA122,399,2
776,400,TA123,400,2
777,401,TA124,401,2
778,402,TA125,402,2
779,403,TB101,403,2
780,404,TB102,404,2
781,405,TB103,405,2
782,406,TB104,406,2
783,407,TB105,407,2
784,408,TB106,408,2
785,409,TB107,409,2
786,410,TB108,410,2
787,411,TB109,411,2
788,412,TB110,412,2
789,413,TB111,413,2
790,414,TB112,414,2
791,415,TB201,415,2
792,416,TB202,416,2
793,417,TB203,417,2
794,418,TB204,418,2
795,419,TB205,419,2
796,420,TB206,420,2
797,421,TB207,421,2
798,422,TB208,422,2
799,423,TB209,423,2
800,424,TB210,424,2
801,425,TB301,425,2
802,426,TB302,426,2
803,427,TB303,427,2
804,428,TB304,428,2
805,429,TB305,429,2
806,430,TB306,430,2
807,431,TB401,431,2
808,432,TB402,432,2
809,433,TB403,433,2
810,434,TB404,434,2
811,435,TB405,435,2
812,436,TB406,436,2
813,437,TB407,437,2
814,438,TB408,438,2
815,439,TB501,439,2
816,440,TB502,440,2
817,441,TB503,441,2
818,442,TB504,442,2
819,443,TB505,443,2
820,444,TB506,444,2
821,445,TB507,445,2
822,446,TB508,446,2
823,447,TB509,447,2
824,448,TB510,448,2
825,449,TB511,449,2
826,450,TB512,450,2
827,451,TB601,451,2
828,452,TB602,452,2
829,453,TB603,453,2
830,454,TB604,454,2
831,455,TB605,455,2
832,456,TB606,456,2
833,457,TB607,457,2
834,458,TB608,458,2
835,459,TB609,459,2
836,460,TB610,460,2
837,461,TB611,461,2
838,462,TB612,462,2
839,463,TB701,463,2
840,464,TB702,464,2
841,465,TB703,465,2
842,466,TB704,466,2
843,467,TB705,467,2
844,468,TB706,468,2
845,469,TB707,469,2
846,470,TB708,470,2
847,471,TB801,471,2
848,472,TB802,472,2
849,473,TB803,473,2
850,474,TB804,474,2
851,475,TB805,475,2
852,476,TB806,476,2
853,477,TB901,477,2
854,478,TB902,478,2
855,479,TB903,479,2
856,480,TB904,480,2
857,481,TB905,481,2
858,482,TB906,482,2
859,483,TB907,483,2
860,484,TB908,484,2
861,485,TB909,485,2
862,486,TB910,486,2
863,487,TB911,487,2
864,488,TB912,488,2
865,489,TB913,489,2
866,490,TB914,490,2
867,491,TB915,491,2
868,492,TB916,492,2
869,493,TB917,493,2
870,494,TB918,494,2
871,495,TB919,495,2
872,496,TB920,496,2
873,497,TB921,497,2
874,498,TB922,498,2
875,499,TB923,499,2
876,500,TB924,500,2
877,501,TC101,501,2
878,502,TC102,502,2
879,503,TC103,503,2
880,504,TC104,504,2
881,505,TC105,505,2
882,506,TC106,506,2
883,507,TC107,507,2
884,508,TC108,508,2
885,509,TC109,509,2
886,510,TC110,510,2
887,511,TC111,511,2
888,512,TC112,512,2
889,513,TC113,513,2
890,514,TC114,514,2
891,515,TC115,515,2
892,516,TC201,516,2
893,517,TC202,517,2
894,518,TC203,518,2
895,519,TC204,519,2
896,520,TC205,520,2
897,521,TC206,521,2
898,522,TC207,522,2
899,523,TC208,523,2
900,524,TC209,524,2
901,525,TC301,525,2
902,526,TC302,526,2
903,527,TC303,527,2
904,528,TC304,528,2
905,529,TC305,529,2
906,530,TC306,530,2
907,531,TC307,531,2
908,532,TC308,532,2
909,533,TC309,533,2
910,534,TC310,534,2
911,535,TC311,535,2
912,536,TC312,536,2
913,537,TC313,537,2
914,538,TC314,538,2
915,539,TC315,539,2
916,540,TC316,540,2
917,541,TC317,541,2
918,542,TC318,542,2
919,543,TC319,543,2
920,544,TC401,544,2
921,545,TC402,545,2
922,546,TC403,546,2
923,547,TC404,547,2
924,548,TC405,548,2
925,549,TC406,549,2
926,550,TC407,550,2
927,551,TC501,551,2
928,552,TC502,552,2
929,553,TC503,553,2
930,554,TC504,554,2
931,555,TC505,555,2
932,556,TC506,556,2
933,557,TC507,557,2
934,558,TC508,558,2
935,559,TC509,559,2
936,560,TC510,560,2
937,561,TC511,561,2
938,562,TC512,562,2
939,563,TC513,563,2
940,564,TC514,564,2
941,565,TC515,565,2
942,566,TC516,566,2
943,567,TC517,567,2
944,568,TC518,568,2
945,569,TC519,569,2
946,570,TC520,570,2
947,571,TC521,571,2
948,572,TC522,572,2
949,573,TC523,573,2
950,574,TC524,574,2
951,575,TC525,575,2
952,576,TC526,576,2
953,577,TC527,577,2
954,578,TC528,578,2
955,579,TC601,579,2
956,580,TC602,580,2
957,581,TC603,581,2
958,582,TC604,582,2
959,583,TC605,583,2
960,584,TC606,584,2
961,585,TC607,585,2
962,586,TC608,586,2
963,587,TC609,587,2
964,588,TC610,588,2
965,589,TC611,589,2
966,590,TC612,590,2
967,591,TC613,591,2
968,592,TC614,592,2
969,593,TC615,593,2
970,594,TC616,594,2
971,595,TC617,595,2
972,596,TC618,596,2
973,597,TC619,597,2
974,598,TC620,598,2
975,599,TC621,599,2
976,600,TC622,600,2
977,601,TC623,601,2
978,602,TC624,602,2
979,603,TC625,603,2
980,604,TC626,604,2
981,605,TC701,605,2
982,606,TC702,606,2
983,607,TC703,607,2
984,608,TC704,608,2
985,609,TC705,609,2
986,610,TC706,610,2
987,611,TC707,611,2
988,612,TC708,612,2
989,613,TC709,613,2
990,614,TC710,614,2
991,615,TC711,615,2
992,616,TC712,616,2
993,617,TC713,617,2
994,618,TC714,618,2
995,619,TC715,619,2
996,620,TC716,620,2
997,621,TC717,621,2
998,622,TC718,622,2
999,623,TC719,623,2
1000,624,TC720,624,2
1001,625,TC721,625,2
1002,626,TC722,626,2
1003,627,TD101,627,2
1004,628,TD102,628,2
1005,629,TD103,629,2
1006,630,TD104,630,2
1007,631,TD105,631,2
1008,632,TD106,632,2
1009,633,TD107,633,2
1010,634,TD108,634,2
1011,635,TD109,635,2
1012,636,TD110,636,2
1013,637,TD111,637,2
1014,638,TD112,638,2
1015,639,TD113,639,2
1016,640,TD114,640,2
1017,641,TD115,641,2
1018,642,TD116,642,2
1019,643,TD117,643,2
1020,644,TD118,644,2
1021,645,TD119,645,2
1022,646,TD120,646,2
1023,647,TD121,647,2
1024,648,TD122,648,2
1025,649,TD123,649,2
1026,650,TD124,650,2
1027,651,TD201,651,2
1028,652,TD202,652,2
1029,653,TD203,653,2
1030,654,TD204,654,2
1031,655,TD205,655,2
1032,656,TD206,656,2
1033,657,TD207,657,2
1034,658,TD208,658,2
1035,659,TD209,659,2
1036,660,TD210,660,2
1037,661,TD211,661,2
1038,662,TD212,662,2
1039,663,TD213,663,2
1040,664,TD214,664,2
1041,665,TD215,665,2
1042,666,TD216,666,2
1043,667,TD217,667,2
1044,668,TD218,668,2
1045,669,TD219,669,2
1046,670,TD220,670,2
1047,671,TD221,671,2
1048,672,TD222,672,2
1049,673,TD223,673,2
1050,674,TD224,674,2
1051,675,TD225,675,2
1052,676,TD226,676,2
1053,677,TD227,677,2
1054,678,TD228,678,2
1055,679,TD229,679,2
1056,680,TD230,680,2
1057,681,TD231,681,2
1058,682,TD232,682,2
1059,683,TD233,683,2
1060,684,TD234,684,2
1061,685,TD301,685,2
1062,686,TD302,686,2
1063,687,TD303,687,2
1064,688,TD304,688,2
1065,689,TD305,689,2
1066,690,TD306,690,2
1067,691,TD307,691,2
1068,692,TD308,692,2
1069,693,TD309,693,2
1070,694,TD310,694,2
1071,695,TD311,695,2
1072,696,TD312,696,2
1073,697,TD313,697,2
1074,698,TD314,698,2
1075,699,TD315,699,2
1076,700,TD316,700,2
1077,701,TD317,701,2
1078,702,TD318,702,2
1079,703,TD319,703,2
1080,704,TD320,704,2
1081,705,TD321,705,2
1082,706,TD322,706,2
1083,707,TD401,707,2
1084,708,TD402,708,2
1085,709,TD403,709,2
1086,710,TD404,710,2
1087,711,TD405,711,2
1088,712,TD406,712,2
1089,713,TD407,713,2
1090,714,TD408,714,2
1091,715,TD409,715,2
1092,716,TD410,716,2
1093,717,TD411,717,2
1094,718,TD412,718,2
1095,719,TD413,719,2
1096,720,TD414,720,2
1097,721,TD415,721,2
1098,722,TD416,722,2
1099,723,TD417,723,2
1100,724,TD418,724,2
1101,725,TD419,725,2
1102,726,TD420,726,2
1103,727,TD421,727,2
1104,728,TD422,728,2
1105,729,TD423,729,2
1106,730,TD424,730,2
1107,731,TD425,731,2
1108,732,TD426,732,2
1109,733,TD427,733,2
1110,734,TD428,734,2
1111,735,TD429,735,2
1112,736,TD430,736,2
1113,737,TD431,737,2
1114,738,TD432,738,2
1115,739,TD501,739,2
1116,740,TD502,740,2
1117,741,TD503,741,2
1118,742,TD504,742,2
1119,743,TD505,743,2
1120,744,TD506,744,2
1121,745,TD507,745,2
1122,746,TD508,746,2
1123,747,TD509,747,2
1124,748,TD510,748,2
1125,749,TD511,749,2
1126,750,TD512,750,2
1127,751,TD513,751,2
1128,752,TD514,752,2
1129,753,TD515,753,2
1130,754,TD601,754,2
1131,755,TD602,755,2
1132,756,TD603,756,2
1133,757,TD604,757,2
1134,758,TD605,758,2
1135,759,TD606,759,2
1136,760,TD607,760,2
1137,761,TD608,761,2
1138,762,TD609,762,2
1139,763,TD610,763,2
1140,764,TD611,764,2
1141,765,TD612,765,2
1142,766,TD613,766,2
1143,767,TD614,767,2
1144,768,TD615,768,2
1145,769,TD701,769,2
1146,770,TD702,770,2
1147,771,TD703,771,2
1148,772,TD704,772,2
1149,773,TD705,773,2
1150,774,TD706,774,2
1151,775,TD707,775,2
1152,776,TE101,776,2
1153,777,TE102,777,2
1154,778,TE103,778,2
1155,779,TE104,779,2
1156,780,TE105,780,2
1157,781,TE106,781,2
1158,782,TE107,782,2
1159,783,TE108,783,2
1160,784,TE109,784,2
1161,785,TE110,785,2
1162,786,TE111,786,2
1163,787,TE112,787,2
1164,788,TE113,788,2
1165,789,TE201,789,2
1166,790,TE202,790,2
1167,791,TE203,791,2
1168,792,TE204,792,2
1169,793,TE205,793,2
1170,794,TE206,794,2
1171,795,TE207,795,2
1172,796,TE208,796,2
1173,797,TE209,797,2
1174,798,TE210,798,2
1175,799,TE211,799,2
1176,800,TE212,800,2
1177,801,TE213,801,2
1178,802,TE214,802,2
1179,803,TE215,803,2
1180,804,TE216,804,2
1181,805,TE217,805,2
1182,806,TE301,806,2
1183,807,TE302,807,2
1184,808,TE303,808,2
1185,809,TE304,809,2
1186,810,TE305,810,2
1187,811,TE306,811,2
1188,812,TE307,812,2
1189,813,TE308,813,2
1190,814,TE309,814,2
1191,815,TE310,815,2
1192,816,TE311,816,2
1193,817,TE312,817,2
1194,818,TE313,818,2
1195,819,TE314,819,2
1196,820,TE315,820,2
1197,821,TE316,821,2
1198,822,TE317,822,2
1199,823,TE318,823,2
1200,824,TE319,824,2
1201,825,TE320,825,2
1202,826,TE321,826,2
1203,827,TE322,827,2
1204,828,TE323,828,2
1205,829,TE324,829,2
1206,830,TE325,830,2
1207,831,TE326,831,2
1208,832,TE327,832,2
1209,833,TE328,833,2
1210,834,TE329,834,2
1211,835,TE330,835,2
1212,836,TF101,836,2
1213,837,TF102,837,2
1214,838,TF103,838,2
1215,839,TF104,839,2
1216,840,TF105,840,2
1217,841,TF106,841,2
1218,842,TF107,842,2
1219,843,TF201,843,2
1220,844,TF202,844,2
1221,845,TF203,845,2
1222,846,TF204,846,2
1223,847,TF205,847,2
1224,848,TF206,848,2
1225,849,TF207,849,2
1226,850,TF208,850,2
